"id","catagory","hasImage","imageName","question","answerA","answerB","answerC","answerD","correctAnswer"
"403","5","0","","When driving a vehicle, what effect could icy roads have?","Front tyre treads could wear out more rapidly.","Tyre grip could improve.","Rear tyre treads could wear out more rapidly.","The vehicle could skid more easily than normal.","D"
"404","5","0","","What should a driver do when driving in slippery road conditions?","Press the clutch only.","Press the clutch and brake together.","Engage neutral gear position.","Use gentle acceleration and braking.","D"
"405","5","0","","How should a driver negotiate a bend when the road is slippery?","Press the clutch and brake together.","Drive slowly and smoothly.","Engage neutral gear position.","Press the clutch only.","B"
"406","5","0","","Apart from the risk of skidding, what danger may arise when driving in snow?","Road signs and road markings may become obscured.","It maybe colder.","The travelling distance may seem shorter.","Apart from the risk of skidding no other dangers arise.","A"
"407","5","0","","What should a driver do when driving in heavy rain?","Speed up so that the vehicle will glide over any standing water.","Be in the alert for skidding or aquaplaning .","Weave the vehicle slightly from side to side in order to improve tyre grip.","Maintain normal speeds as on dry road.","B"
"408","5","0","","What is the danger in driving with badly worn tyres at high speed on wet roads?","Control of the vehicle is reduced because it is gliding on a film of water.","Air pressure in the tyres is reduced.","There is no danger provided the tyres are at the correct pressure.","There is no danger provided the tyre pressure had been reduced to account for the worn tread.","A"
"409","5","0","","What should a driver do when they encounter mud on the road?","Apply the brakes immediately.","Change to a lower gear and carry on.","Reduce speed and be aware of the farm or works vehicles on the road.","Gently increase speed to prevent mud from sticking to tyres.","C"
"410","5","0","","What should a driver be aware of when crossing tram lines at an angle?","Be aware that tyre grip is reduced on the lines.","Depress the clutch pedal and 'coast' across.","Be aware that the wheels could get caught in the lines.","Be aware that tyre grip is improved on the lines.","A"
"411","5","0","","What should a driver be aware of when crossing road markings such as lines or arrows?","Steering control is improved.","Tyre grip is improved.","A.B.S will prevent the vehicle from skidding.","Tyre grip is reduced.","D"
"412","5","0","","What should a driver do after passing through a flooded section of road?","Apply the brake pedal lightly at slow speed for a short distance to dry the brakes.","Do nothing.","Apply the brakes firmly to check if they are still effective.","Drive faster for a time in order to dry out your brakes.","A"
"413","5","0","","What should a driver do when they approach roadworks warning signs?","Reduce speed and be prepared to stop for works vehicles or a flagman.","Increase speed in order to avoid getting stuck in soft ground.","Maintain your speed until signalled to do otherwise by flagman.","Engage a lower gear to improve grip and maintain your speed.","A"
"414","5","0","","What should a driver be aware of when driving through a section of road where roadworks are ongoing?","Traffic is likely to travel much faster.","The driver has right of way over earthmoving machinery.","That the area will be cleared for you and you should not delay.","That the surface may be slippery due to mud or loose chippings.","D"
"695","5","0","","When should rear fog lights be used?","Only in light fog.","When the vehicle behind is too close.","Always when driving at night.","In dense fog or falling snow.","D"
"696","5","0","","When should high-intensity rear fog lights be used?","At dusk and dawn.","When the tail-light is broken.","When driving in fog or falling snow.","Never.","D"
"697","5","0","","What should a driver do if the right-hand headlight bulb fails when driving at night?","Replace it temporarily with the brake-light bulb.","Have the bulb replaced immediately.","Drive with the right hand indicators on.","Replace it temporarily with the left-hand bulb.","B"
"698","5","0","","What should a driver do if dazzled by headlights reflecting in the rear-view mirror of their car?","Switch your lights off and on to remind the following driver to dip his lights.","Use the night driving mode on the mirror.","Adjust your mirror to reflect the light back towards the following driver.","Turn on your rear fog lights to signal to the following driver to turn off his headlights.","B"
"699","5","0","","What should a driver do if dazzled by lights reflecting in their exterior mirror?","Switch on your rear lights.","Temporarily adjust the angle of the mirror.","Adjust the mirror to reflect the light back to the following driver.","Switch on a reversing light.","B"
"700","5","0","","At night, what effect could driving with a single headlight have on oncoming drivers?","It could dazzle them.","This will have no effect on oncoming drivers.","They could mistake the vehicle for a motorcycle.","It could enable them to see your vehicle more clearly.","C"
"701","5","0","","In slippery conditions, should the driver of a tractor use the grass verge to improve road holding?","Only when towing heavy loads.","No, using the grass verge should be avoided.","Only when towing a trailer.","Only when not towing a trailer.","B"
"702","5","0","","Why should a tractor be driven more slowly on uneven road surfaces?","To ensure that fuel does not spill from the tank.","To avoid reduced tyre pressure.","To reduce noise.","To avoid severe bouncing.","D"
"703","5","0","","Generally, what lighting must a car, tractor or works vehicle have when driving at night?","Headlights, brake-lights and indicators.","Headlights only.","Headlights and a reversing light.","Headlights, front and rear side lights, rear number plate light, red rear reflectors. brake lights and indicators.","D"
"704","5","0","","What lights must be shown on a parked car, tractor or works vehicle at night on an unlit public road?","Tail lights only.","At least one side lamp front and rear on the side nearest the centre of the road.","Dipped head lights.","At least one side-lamp front and rear on the side nearest the kerb.","B"
"821","5","0","","How does wet weather affect a vehicleâ€™s engine performance?","It causes the engine to run at a higher temperature.","It has not affect on power output.","It causes the engine to run at a lower temperature.","It reduces the power output.","B"
"822","5","0","","What should a driver do where a section of road ahead has a shallow flooded area?","Use a high gear and maintain the same speed.","Use a low gear and maintain the same speed.","Increase speed and use a higher gear.","Reduce speed and use a lower gear.","D"
"415","2","0","","When driving on a one-way street and wishing to turn right, what should a driver do?","Drive close to the centre line of the road while indicating right.","Drive close to the left-hand-side of the road.","Drive close to the right-hand side of the road.","Drive close to the centre line of the road.","C"
"416","2","0","","When driving on a one-way street and wishing to turn right up ahead, what should a driver do?","Move to the right-hand side in good time.","Drive on the left until you are close to the turn before taking up position on the right.","Drive close to the centre of the road.","Continue in the lane you are in.","A"
"417","2","0","","When a driver wants to turn left into a property and there is a bus lane on the left, what should the driver do?","Watch out for buses only.","Watch out for cyclists, taxis and buses which may be using the bus lane.","Use a 'slowing down' hand signal in addition to your left turn indicator.","Not turn left across a bus lane.","B"
"418","2","0","","What traffic may use a contra-flow bus lane?","Buses, taxis and motorcycles.","Buses on a scheduled service.","Buses, taxis and cyclists.","Buses and taxis.","B"
"419","2","0","","What traffic may use a with-flow bus lane during the specified times?","Buses, taxis and cyclists.","Buses only.","All traffic.","Vehicles with more than one passenger.","A"
"420","2","0","","When may a driver drive (other than a bus or taxi driver) in a with-flow bus lane?","During the hours specified on the bus lane information plate.","After a bus has gone through on it.","After 9 p.m.","Outside the hours specified on the bus lane information plate.","D"
"421","2","0","","When driving along a dual carriageway, what lane position should a driver be in?","On the right-hand lane, except when driving a tractor or works vehicle.","On either lane of their choice.","In the left-hand lane unless the driver wishes to overtake or turn right .","On the right-hand lane.","C"
"422","2","0","","When turning right from a minor road onto a dual carriageway with a wide median strip, what should a driver do?","When clear on the right, proceed to the central median and then wait until it is clear on the left before proceeding.","Not drive onto the dual-carriageway until there is a suitable gap in the traffic from both directions.","Not turn right onto a dual-carriageway.","Not halt on the median strip.","A"
"423","2","0","","When turning right from a minor road onto a dual carriageway with a narrow median strip, what should a driver do?","When the nearest carriageway is clear, drive on to the median strip and wait.","Stop on the narrow median strip before proceeding.","The driver should not turn right onto a dual-carriageway.","Wait on the minor road until there is a suitable gap in the traffic from both directions.","D"
"424","2","0","","What does a 2-plus-1 road have?","Two non-motorway lanes in one direction and one non-motorway lane in the opposite direction.","Two motorway lanes and one non-motorway lane, in two directions.","Two non-motorway lanes and one motorway lane, in two directions.","Two motorway lanes in one direction and one non-motorway lane in the opposite direction.","A"
"425","2","0","","On a 2-plus-1 road, where must a driver only turn right?","When in the one-lane stretch.","At controlled junctions.","When in the two-lane stretch.","When directed by a pointsman.","A"
"426","2","0","","What does a 2-plus-1 road have?","Barriers between lanes of traffic going in the same direction.","Barriers between the hard shoulder and the verge.","Two lanes for cars and one lane for trucks and buses.","Two lanes of traffic in one direction and one in the opposite direction.","D"
"427","2","0","","Where may a driver overtake on a 2-plus-1 road?","In the one-lane stretch if there is no oncoming traffic, and in the two-lane stretch.","In either the one-lane stretch or the two-lane stretch.","In the two-lane stretch.","In the one-lane stretch.","C"
"428","2","0","","What should a driver do when travelling on a motorway or dual carriageway?","Be alert for other drivers who may suddenly change lanes or reduce speed.","Match your speed to that of the vehicle in front.","Match your speed to that of the vehicle in the adjoining lane.","Relax because there will be no oncoming or crossing traffic.","A"
"429","2","0","","When driving on a motorway, what should a driver do?","Drive on whichever lane has the least volume of traffic.","Drive in the right-hand lane unless you intend to take a left exit.","Drive in the left-hand lane unless intending to overtake.","Not drive on the left-hand lane as it is reserved for heavy goods vehicles and coaches.","C"
"430","2","0","","When driving on a motorway, what should a driver do?","Be alert for other drivers who may suddenly change lane or reduce speed.","Drive at the maximum permitted speed.","Match your speed to that of the vehicle in front.","Relax because there will be no oncoming or crossing traffic.","A"
"431","2","0","","In preparation for driving on a motorway. what changes should a driver make to tyre pressure?","The driver should increase tyre pressure in order to cope with sustained high speeds.","The driver should ensure that tyre pressure is normal.","The driver should reduce tyre pressure because high speeds will cause them to heat up.","The driver should increase the front tyre pressure.","B"
"432","2","0","","What should a driver do when joining a motorway from a slip road?","Always stop and give a hand signal.","Drive along the hard shoulder if necessary until a suitable gap appears in the motorway traffic to allow you to merge with it.","Try to match the vehicle speed to that of traffic already on the motorway and merge into it in a suitable gap.","Drive directly onto the motorway.","C"
"433","2","0","","Is a driver permitted to pick up or set down a passenger on a motorway?","Only when you stop on the hard-shoulder.","Only during daylight hours.","Only when you are within 200 meters of a slip-road.","No. this is not permitted.","D"
"434","2","0","","When driving on a motorway and wishing to turn back, what should a driver do?","Wait on the right-hand side shoulder until a suitable gap appears in oncoming traffic.","Leave the motorway at the next exit and cross to the other side using the fly-over (or underpass).","Cross to the opposite side of the motorway when there is a suitable gap in the oncoming traffic.","Wait on the hard shoulder until a suitable gap appears in traffic from both directions and then cross to the opposite side of the motorway.","B"
"435","2","0","","What should a driver do when driving on a motorway and wishing to take a break?","Pull well in on the left of the hard shoulder and switch on the hazard warning lights.","Only stop for 15 minutes or less.","Leave by the next exit and find a lay-by or suitable place to stop.","Stop on the hard shoulder and use the roadside phone to inform the authorities.","C"
"436","2","0","","What should a driver do when leaving a motorway?","Maintain your speed until traffic conditions oblige you to slow down.","Comply with the speed limit on the road the driver is joining.","Reduce speed gradually for a few kilometers.","Maintain the speed of the vehicle in front of you.","B"
"437","2","0","","What should a driver do if they drive past their intended exit by mistake?","Stop on the hard shoulder and reverse back to the exit.","Use the emergency telephone to ask for advice.","Drive on and leave at the next exit.","Carefully complete a 'U'-turn.","C"
"438","2","0","","What is the difference between driving on a motorway and driving on other types of road?","Traffic usually travels at a higher speed on a motorway.","Traffic usually travels at lower speeds on a motorway than on a dual-carriageway.","Hand-signals may not be used on a motorway.","Speed limits are the same for all vehicles on a motorway.","A"
"439","2","0","","On a motorway, a driver wants to overtake another vehicle - what should the driver do?","Use their mirrors, signal and overtake in the right-hand lane.","Use the mirror, signal and overtake in the left-hand lane if necessary.","Check for following and oncoming traffic and overtake in either lane.","Check for following traffic and overtake in either lane.","A"
"440","2","0","","What may the hard shoulder of a motorway be used for?","Exiting the motorway.","Stopping to receive a call on a mobile phone.","Stopping the vehicle so the driver can have a rest.","Stopping in an emergency.","D"
"441","2","0","","On exiting the motorway what should a driver do?","Be alert for oncoming and crossing traffic.","Not overtake for a few kilometers.","Watch for oncoming traffic on the slip road.","Maintain motorway speeds for a few kilometers.","A"
"442","2","0","","What should a driver do when leaving a motorway?","Drive up to 110 km/h.","Reduce speed gradually for a few kilometers.","Obey the posted speed limit.","Drive up to 120 km/h.","C"
"443","2","0","","A driver wishes to go straight ahead at a cross junction of equal importance - what should the driver do?","Give way to traffic approaching from the right.","Give way to traffic approaching both left and right.","Give way to traffic approaching from your left.","Carry on as normal because you have the right of way.","A"
"444","2","0","","What is a clearway?","A road which is reserved for buses only.","An area where stopping and parking is not allowed during certain times.","A road which is reserved for pedestrians only.","A road without road markings.","B"
"445","2","0","","What should a driver consider doing when parking a vehicle facing down a hill?","Wheel angle does not matter.","Angle your wheels in the straight ahead position.","Angling the wheels towards the kerb.","Angle your wheels towards the road.","C"
"446","2","0","","What should a driver consider doing when parking on a two-way street facing downhill?","Turn the steering wheel towards the kerb.","Put the gears in forward.","Ensure the steering wheel is facing straight.","Turn the steering wheel to the right.","A"
"447","2","0","","What should a driver consider doing when parking a vehicle on a two-way street and facing uphill?","Turning the steering wheel to the left.","Putting the gears into neutral.","Putting the gears into reverse.","Turning the steering wheel to the right.","D"
"448","2","0","","While driving on a primary road that is not divided by a central dividing line, what should a driver do?","Imagine there is one there and drive on the right-hand side.","Position your vehicle midway on the left-hand side.","Drive on the middle of the road.","Imagine there is a central line and drive on the left-hand side.","D"
"449","2","0","","What should a driver do when approaching a sharp right-hand bend on a narrow road?","Maintain your speed and flash your lights as a warning.","Move to the centre of the road to improve braking.","Reduce speed. keep well to the left and watch for oncoming traffic.","Wait until you are close to the bend before braking.","C"
"450","2","0","","What should a driver do when approaching a roundabout?","Drive onto it as the traffic on it must give way to you.","Give way only to heavy goods vehicles on the roundabout.","Give way only if taking the second or third exit.","Give way to traffic already on the roundabout.","D"
"451","2","0","","In what direction should a driver turn when entering a roundabout?","To the Right.","To the Right, only when controlled by a traffic light.","To the left or right.","To the left.","D"
"452","2","0","","Where two lanes are provided on the approach to a roundabout, which lane should a driver select when they intend taking an exit to the right of the roundabout?","The left-hand lane.","Right lane, only when controlled by a traffic light.","The right-hand lane.","Either lane.","C"
"453","2","0","","What position should a driver approach a roundabout when intending to take the first exit to the left?","Approach in any lane and give a clear signal.","Approach in the left-hand lane and give way to traffic already on the roundabout.","Approach in the right-hand lane and give way to traffic which is already on the roundabout.","Approach in any lane, traffic on the roundabout must give way to you.","B"
"454","2","0","","Where should a vehicle be positioned before turning right?","The left-hand side of the road.","Just left of the centre of the road.","Either side of the centre of the road.","The right-hand side of the road.","B"
"455","2","0","","What should a driver do before turning right from a major road into a minor road?","Yield right of way to oncoming traffic and to pedestrians crossing at the junction.","Turn in front of oncoming traffic as it must give right-of-way to you.","Stop and signal traffic to exit right from the minor road.","Stop and signal traffic to exit left from the minor road.","A"
"456","2","0","","What should a driver do when entering a tunnel?","Switch on dipped headlights.","Switch on your headlights.","Listen to the local radio.","Switch on your hazard warning lights.","A"
"457","2","0","","What should a driver do when entering a tunnel?","Drive compact to the vehicle in front.","Register at the first tunnel station.","Wear sunglasses, if available, to prevent glare from the lights.","Keep a safe distance from the vehicle in front.","D"
"458","2","0","","What should a driver do when entering a tunnel?","Listen to the local radio.","Keep a safe distance from the vehicle in front and remove sunglasses, if you are wearing them.","Switch on your hazard warning lights.","Switch on your full headlights.","B"
"459","2","0","","When driving through a tunnel what should a driver do?","Register at the first tunnel station.","Keep further back than normal from the vehicle in front.","Drive compact to the vehicle in front.","Wear sunglasses, if available, to prevent glare from the lights.","B"
"460","2","0","","What should a driver do if there is traffic congestion in a tunnel?","Leave the vehicle.","Switch on hazard warning lights.","Stop at the nearest emergency exit.","Keep close to the vehicle in front.","B"
"461","2","0","","What should a driver do if traffic comes to a halt in a tunnel?","Select a low gear, and keep the engine ticking over.","Only give hand signals.","Switch on your fog lights.","Switch off the engine.","D"
"462","2","0","","What should a driver do if their vehicle breaks down or they are involved in a collision in a tunnel?","Beckon other traffic to overtake.","Switch on hazard warning lights and walk to emergency station to call for help.","Switch on your hazard warning lights - ONLY.","Call for help from an emergency station - ONLY.","B"
"463","2","0","","What should a driver do if their vehicle breaks down in a tunnel?","Wait in the vehicle until help arrives.","Flag down a passing motorist and ask for help.","Walk to the end of the tunnel and call the police.","Use the emergency telephone to call for help.","D"
"464","2","0","","What should a driver do in the event of a breakdown or incident in a tunnel?","Switch on hazard lights and stop as close to the left-hand side as possible.","Reverse the vehicle, if necessary, to make room from over taking traffic.","Beckon other traffic to overtake.","Hitch a lift to the nearest service area and get help.","A"
"465","2","0","","What should a driver do if their vehicle goes on fire in a tunnel?","Wait for the tunnel traffic radio to announce procedure.","Drive to nearest tunnel lay-by.","Drive to the nearest emergency exit.","Leave the vehicle and follow the emergency escape route.","D"
"705","2","0","","What danger could be associated with driving a tractor and trailer over a humpbacked bridge?","The tractor's suspension will smooth out the bump.","Tail-swing.","The trailer could become detached.","The trailer brakes might engage.","C"
"706","2","0","","What should a driver do before entering a tunnel?","Drive close to the vehicle in front to reduce congestion.","Drive in a lower gear than normal to reduce exhaust pollution.","Check that the height of the vehicle is suitable for the tunnel.","Carry the minimum amount of fuel in case of fire.","C"
"707","2","0","","What should a driver do before starting a journey on which they will encounter a tunnel?","Check the tunnel height before starting the journey.","Check the tachograph to find out height of the vehicle.","Carry extra fuel containers in the cab.","Disengage the global positioning system.","A"
"819","2","0","","What must a driver be aware of before entering a roundabout?","Traffic coming from behind - how fast it's travelling and how close it is.","The traffic to the right - how fast it's travelling and how close it is.","The traffic coming from the left - how fast it's travelling and how close it is.","The traffic ahead - how fast it's travelling and how close it is.","B"
"888","2","0","","Which statement is true about tyre pressure and driving on a motorway?","The driver should increase tyre pressure in order to cope with sustained high speed.","The driver should reduce tyre pressure because high speeds will cause them to heat up.","The driver should ensure that tyre pressure is normal.","The driver should increase the front tyre pressure.","C"
"466","15","0","","When approaching a junction where a pedestrian is crossing the road what should a driver do?","Wave the pedestrian on.","Yield right of way to the pedestrian.","Carry on because the pedestrian only has right-of-way at a pedestrian crossing.","Sound the horn as a warning of your appoach.","B"
"467","15","0","","What should a driver do if their progress is hindered by a cyclist ahead?","Drive close behind to encourage the cyclist to pull in.","Stay well back until there is an opportunity to overtake safely.","Sound the horn to encourage the cyclist to move over.","Try to squeeze past the cyclist despite oncoming traffic.","B"
"468","15","0","","When stopped at traffic lights and the green light comes on but pedestrians are still crossing the road, what should a driver do?","Signal the pedestrains to warn them of the light's changing and move out when it changes.","Sound the horn as a warning to them that the lights are about to change.","Inch forward in your vehicle to encourage them to complete the crossing quickly.","Wait as long as necessary to enable them to complete the crossing.","D"
"469","15","0","","What should a driver do when they see a slow moving vehicle up ahead being driven by a learner driver?","Quickly overtake the vehicle to avoid being delayed.","Be patient and allow extra time to the driver if necessary.","Sound the horn to encourage the driver to speed up.","Drive close behind the vehicle to encourage the driver to speed up.","B"
"470","15","0","","What should a driver do when they see a slow moving vehicle up ahead being driven by a learner driver?","Stay back until the driver can overtake safely.","Drive close behind the vehicle in front and flash your headlights.","Overtake the vehicle as quickly as possible.","Sound the horn to encourage the driver to pull in.","A"
"471","15","0","","What way is an inexperienced learner driver likely to react in traffic situations?","The same as an experienced driver.","Slower then an experienced driver.","More correctly then an experienced driver.","More quickly then an experienced driver.","B"
"472","15","0","","A driver sees a cyclist Just ahead who is about to overtake a parked vehicle There is no oncoming traffic, what should a driver do?","Allow the cyclist to overtake the parked vehicle and then proceed.","Overtake the cyclist before the cyclist has a chance to overtake the parked vehicle.","Allow enough clearance to overtake both the parked vehicle and the cyclist together.","Expect the cyclist to go on the inside of the vehicle.","A"
"473","15","0","","In slow-moving traffic in a built-up area, what should a driver do when approaching a pedestrian crossing?","Drive close up behind the vehicle in front and move forward when it moves.","Avoid obstructing the pedestrian crossing only if there are pedestrians on the crossing.","Time their stop/start movements to avoid obstructing the pedestrian crossing.","Stop your vehicle on the pedestrian crossing if necessary.","C"
"474","15","0","","At road junctions, what type of road users are particularly vulnerable?","Minibus or van drivers.","Tractor drivers.","Car drivers.","Motorcyclists.","D"
"475","15","0","","At road junctions, what type of road users are particularly vulnerable?","Minibus or van drivers.","Tractor drivers.","Pedestrians.","Car drivers.","C"
"476","15","0","","At road junctions, what type of road users are particularly vulnerable?","Minibus or van drivers.","Cyclists.","Tractor drivers.","Car drivers.","B"
"477","15","0","","At traffic lights, a driver should take particular care for which road users coming up on the left?","Buses or vans.","Cars.","Cyclists.","Tractors.","C"
"478","15","0","","At traffic lights, a driver should take particular care for which road users coming up on the left?","Buses or vans.","Motorcyclists.","Cars.","Tractors.","B"
"479","15","0","","What should a driver do if the traffic light changes to green while pedestrians are still crossing at traffic lights or at a pelican crossing?","Wait patiently and let them cross at ease.","Rev your engine to encourage them to hurry along.","Beckon them along as quickly as possible.","Move off slowly.","A"
"480","15","0","","When a driver intends to make a left-hand turn on a busy city street junction and there are pedestrians and cyclists around, what should a driver do?","Signal left, watch the right-hand mirror and make the turn when it is clear.","Watch for cyclists or pedestrians who may try to cross the road in front of the vehicle.","Stay tight on the left so as to prevent cyclists or pedestrians coming up your left side.","Honk your horn.","B"
"481","15","0","","When a driver intends to make a left-hand turn on a busy city street junction and there are pedestrians and cyclists around, what should a driver do?","Stay tight on the left so as to prevent cyclists or pedestrians coming up your left side.","Watch for cyclists or pedestrians on the left.","Signal left, watch the right-hand mirror and make the turn when it is clear.","Honk your horn.","B"
"482","15","0","","When a driver intends to make a left-hand turn on a busy city street junction and there are pedestrians and cyclists around, what should a driver do?","Allow comfort space for any pedestrian on the left.","Stay tight on the left so as to prevent cyclists or pedestrians coming up your left side.","Signal left, watch the right-hand mirror and make the turn when it is clear.","Honk your horn.","A"
"483","15","0","","In slow-moving city traffic, a driver should occasionally check their blind spots for which road users in particular?","Cyclists.","Other large vehicles.","Horse drawn carriages.","Taxis.","A"
"484","15","0","","In slow-moving city traffic, a driver should occasionally check their blind spots for which road users in particular?","Other large vehicles.","Motorcyclists.","Parking bays.","Taxis.","B"
"485","15","0","","In slow-moving city traffic a driver should occasionally check their blind spots for which road users in particular?","Proceed if you can edge your way through.","Tell them to be careful and wave them across.","Beckon them to return to the side.","Pedestrians.","D"
"486","15","0","","What should a driver do when approaching a junction with green traffic lights where there are elderly people crossing?","Sound the horn to warn them that you are approaching and maintain your speed.","Increase speed to pass quickly.","Allow them to cross in their own time.","Increase engine noise to warn the person of your approach.","C"
"487","15","0","","If the traffic lights change while pedestrians are still crossing at pelican crossings or traffic lights, what should a driver do?","Increase speed to pass quickly.","Wait patiently and let them cross with ease.","Sound the horn to warn them that you are approaching and maintain your speed.","Increase engine noise to warn the person of your approach.","B"
"488","15","0","","What should a driver do if they see an elderly person crossing the road up ahead?","Increase engine noise to warn the person of your approach.","Sound the horn to warn them that you are approaching and maintain your speed.","Reduce speed and let the person to complete the crossing safely.","Increase speed to pass quickly.","C"
"489","15","0","","What should a driver do if while driving at 80 km/h they see children on the road ahead?","Maintain your speed.","Sound the horn to warn them of your approach and maintain your speed.","Turn on your headlights.","Reduce speed and prepare to stop if necessary.","D"
"490","15","0","","What should a driver do when they see children just ahead on the road?","Give them a wide clearance and be prepared to slow down if necessary.","Keep your course as the noise of the engine will make them keep in.","Flash your lights and sound your horn to warn them of your approach.","Flash your lights to warn them of your presence and maintain your present speed.","A"
"491","15","0","","When driving on a windy day and a cyclist is up ahead, what should a driver do?","Allow extra clearance in case the cyclist is blown off course.","Expect the cyclist to be alert and to keep in ot the left.","Maintain your course but sound the horn as a warning.","Maintain your course but prepare to swerve around the cyclist if necessary.","A"
"492","15","0","","What should a driver do when overtaking a cyclist?","Allow extra clearance in case the cyclist swerves suddenly.","Sound the horn as a warning and overtake the cyclist as quickly as possible.","Drive close to the cyclist and overtake promptly.","Sound the horn as a warning.","A"
"493","15","0","","What should a driver do when they see joggers ahead on the left?","The driver should sound the horn and flash it's lights to warn them of their presence.","Expect them to move in so the driver can pass them by.","Indicate, use the mirrors and overtake allowing sufficient clearance.","Check the mirrors, indicate and overtake the joggers allowing them sufficient clearance.","D"
"494","15","0","","When driving on a road that has a potholed surface and there is a cyclist ahead, what should a driver do?","Allow extra clearance in case the cyclist swerves out to avoid a pothole.","Change to a lower gear and overtake quickly.","Expect the cyclist to keep to the left and maintain your speed.","Maintain your course and sound your horn to alert the cyclist of your approach.","A"
"495","15","0","","What precautions should a driver take in relation to pedestrians when driving in slow-moving traffic?","Watch for pedestrians who may cross the road in front of your vehicle.","Allow them to cross the road only at pedestrian crossings.","Rev your engine occasionally as a warning.","Do not leave a gap between your vehicle and the vehicle in front.","A"
"496","15","0","","What should a driver be aware of when making a left-hand turn?","Check for pedestrians or cyclists who may have come up on the inside.","Following traffic must have room to overtake.","Cyclists might come up on the 'outside'.","You should approach with the nearside wheels brushing against the kerb.","A"
"497","15","0","","When driving through a residential area, what particular hazards should a driver be aware of?","Vehicles may drive or reverse onto the road.","Minimum loading limits may apply.","All the traffic may be slow moving.","Parking fees may apply.","A"
"498","15","0","","When driving through a residential area, what particular hazards should a driver be aware of?","Obey the speed limit and maintain their course.","Switch on the hazard warning lights.","Children or residents may come out suddenly.","Parking fees may apply.","C"
"499","15","0","","When driving on a country road without footpaths, what should a driver look out for coming towards them on their side of the road?","Pedestrians.","Motorcycles.","Cyclists.","Tractors.","A"
"500","15","0","","What should a driver do when driving at night on an unlit road?","Drive as close as possible to the line of reflective studs.","Watch out for pedestrians wearing dark clothing.","Drive on the centre of the road.","Maintain their speed when meeting oncoming traffic.","B"
"501","15","0","","What should a driver do when driving at night on an unlit road?","Drive on the centre of the road.","Watch out for cars parked on the left.","Maintain their speed when meeting oncoming traffic.","Drive as close as possible to the line of reflective studs.","B"
"502","15","0","","What should a driver do when driving at night on an unlit road?","Watch out for stray animals or livestock.","Maintain their speed when meeting oncoming traffic.","Drive on the centre of the road.","Drive as close as possible to the line of reflective studs.","A"
"503","15","0","","What could happen if a driver parks on a footpath?","The suspension could be weakened.","The tyres could lose air pressure.","Traffic could be impeded.","Pedestrians could be impeded.","D"
"504","15","0","","What should a driver do when driving along and there is a cyclist on the road up ahead?","Check the mirrors, indicate in good time and move out if it is safe to do so.","Indicate, check the mirror and move out.","Indicate, move out and check the mirror for following traffic.","Use your mirrors, and move out to overtake without indicating.","A"
"505","15","0","","If indicators are not fitted or are not working, how should signals be given?","It is not necessary to give signals provided you look around.","Your position on the road is a signal in itself.","By hand, clearly and in good time.","Verbally, out you window.","C"
"506","15","0","","What should a driver do when travelling on a country road with following traffic, and they meet pedestrians?","Flash their lights so that following traffic might see the pedestrian.","Leave a minimum safety clearance of 25 centimeters.","Signal to following traffic their intention to overtake the pedestrians.","Gesture to the pedestrian to move in off the road.","C"
"507","15","0","","In relation to cyclists and pedestrians, what should a driver be aware of when driving on dark winter mornings and evenings on unlit country' roads?","Car has the correct tyre pressure.","They will always be wearing reflective clothing and lighting.","Cyclists are much more vulnerable in poor lighting conditions.","Cyclists are less vulnerable in poor lighting conditions.","C"
"508","15","0","","In relation to cyclists and pedestrians, what should a driver be aware of when driving on dark winter mornings and evenings on unlit country' roads?","Car tyres have the correct tyre pressure.","Cyclist and pedestrians will always be visible.","A driver should take extra care for cyclists and pedestrians in the countryside as they may not be clearly visible.","Cyclists and pedestrians are less vulnerable in poor lighting conditions.","C"
"509","15","0","","In relation to pedestrians, what should a driver be aware of when driving on dark winter mornings and evenings?","There will be no pedestrians on the road.","That there could be vulnerable pedestrians walking in the countryside.","Have no effect on your ability to see vulnerable pedestrians.","All pedestrians in the countryside will be wearing reflective armbands and bright clothing, and will be clearly visible to you.","C"
"510","15","0","","In relation to pedestrians, what should a driver be aware of when driving on dark winter mornings and evenings?","Stray animals may be on the road.","Schoolchildren are more vulnerable on unlit country roads on dark winter mornings and evenings.","You should drive with full headlights at all times in order to see pedestrians walking on unlit country roads.","You should anticipate that any pedestrians up ahead will be on a footpath and will be free from danger from your vehicle.","B"
"826","15","0","","At traffic lights a driver should take particular care for which road users coming up on the left?","Vans.","Motorcyclists.","Cars.","Trucks.","B"
"827","15","0","","What should a driver be aware of when making a left-hand turn?","Following traffic must have room to overtake.","To approach with the nearside wheels brushing against the kerb.","Cyclists might come up on the outside.","Cyclists might come up on the inside.","D"
"894","15","0","","When turning left into a side road, what should a driver do?","Ensure that following traffic has room to overtake if necessary.","Check for pedestrians or cyclists who may have come up on the â€˜insideâ€™.","Expect that traffic coming out of the other road will stay back and allow you space.","Approach the junction with the nearside wheels brushing against the kerb.","B"
"895","15","0","","In relation to cyclists, what should a driver be aware of when driving on dark winter mornings and evenings on unlit country roads?","On country roads, cyclists have space in the margin of the road so that a driver can overtake them without reducing speed or moving out.","Cyclists all wear reflective belts, have the correct lighting on their bicycles and are clearly visible.","Cyclists are much more vulnerable in poor lighting conditions.","An oncoming cyclist could never be dazzled by the vehicle lights and wobble off course into the driverâ€™s path.","C"
